Opção,Ano,Países,Quantidade(Kg.),Valor (US$)
Vinhos de mesa,2010,China,-,-
Vinhos de mesa,2010,"Coreia do Sul, República",-,-
Vinhos de mesa,2010,Croácia,-,-
Vinhos de mesa,2010,Cuba,-,-
Vinhos de mesa,2010,Emirados Árabes Unidos,-,-
Vinhos de mesa,2010,Eslovênia,-,-
Vinhos de mesa,2010,Eslováquia,-,-
Vinhos de mesa,2010,Espanha,1.622.100,8.698.824
Vinhos de mesa,2010,Estados Unidos,194.774,1.344.921
Vinhos de mesa,2010,França,2.799.118,18.778.566
Vinhos de mesa,2010,Geórgia,-,-
Vinhos de mesa,2010,"Geórgia do Sul e Sandwich do Sul, Ilhas",-,-
Vinhos de mesa,2010,Grécia,42.449,196.361
Vinhos de mesa,2010,Hong Kong,-,-
Vinhos de mesa,2010,Hungria,15.193,160.961
Vinhos de mesa,2010,Indonésia,-,-
Vinhos de mesa,2010,Irlanda,-,-
Vinhos de mesa,2010,Israel,15.782,93.252
Vinhos de mesa,2010,Itália,11.911.190,28.683.242
Vinhos de mesa,2010,Japão,-,-
Vinhos de mesa,2010,Iugoslávia,-,-
Vinhos de mesa,2010,Líbano,15.741,123.283
Vinhos de mesa,2010,Luxemburgo,-,-
Vinhos de mesa,2010,Macedônia,-,-
Vinhos de mesa,2010,Marrocos,-,-
Vinhos de mesa,2010,México,7.004,63.663
Vinhos de mesa,2010,Moldávia,-,-
Vinhos de mesa,2010,Montenegro,-,-
Vinhos de mesa,2010,Noruega,-,-
Vinhos de mesa,2010,Nova Zelândia,102.683,947.043
Vinhos de mesa,2010,Países Baixos (Holanda),-,-
Vinhos de mesa,2010,Panamá,-,-
Vinhos de mesa,2010,Paraguai,-,-
Vinhos de mesa,2010,Peru,33,252
Vinhos de mesa,2010,Porto Rico,-,-
Vinhos de mesa,2010,Portugal,7.801.759,29.299.792
Vinhos de mesa,2010,Reino Unido,621,22.292
Vinhos de mesa,2010,Republica Dominicana,-,-
Vinhos de mesa,2010,Romênia,-,-
Vinhos de mesa,2010,Rússia,-,-
Vinhos de mesa,2010,San Marino,-,-
Vinhos de mesa,2010,Sérvia,-,-
Vinhos de mesa,2010,Síria,-,-
Vinhos de mesa,2010,Suazilândia,-,-
Vinhos de mesa,2010,Suíça,2.483,8.010
Vinhos de mesa,2010,"Tcheca, República",-,-
Vinhos de mesa,2010,Tunísia,-,-
Vinhos de mesa,2010,Turquia,-,-
Vinhos de mesa,2010,Ucrânia,-,-
Vinhos de mesa,2010,Uruguai,1.219.387,3.175.051
Vinhos de mesa,2010,Não consta na tabela,-,-
Vinhos de mesa,2010,Não declarados,-,-
Vinhos de mesa,2010,Outros,-,-
Vinhos de mesa,2010,Total,70.737.868,223.080.695
Vinhos de mesa,2011,Africa do Sul,507.509,2.136.394
Vinhos de mesa,2011,Alemanha,198.025,933.545
Vinhos de mesa,2011,Argélia,-,-
Vinhos de mesa,2011,Arábia Saudita,-,-
Vinhos de mesa,2011,Argentina,16.673.491,58.806.736
Vinhos de mesa,2011,Armênia,-,-
Vinhos de mesa,2011,Austrália,824.440,2.811.273
Vinhos de mesa,2011,Áustria,6.357,56.227
Vinhos de mesa,2011,Bermudas,-,-
Vinhos de mesa,2011,Bélgica,-,-
Vinhos de mesa,2011,Bolívia,-,-
Vinhos de mesa,2011,Bósnia-Herzegovina,-,-
Vinhos de mesa,2011,Brasil,93,1.164
Vinhos de mesa,2011,Bulgária,1.097,2.527
Vinhos de mesa,2011,Canada,2.322,35.032
Vinhos de mesa,2011,Chile,26.642.889,84.952.500
Vinhos de mesa,2011,China,-,-
Vinhos de mesa,2011,"Coreia do Sul, República",-,-
Vinhos de mesa,2011,Croácia,450,12.388
Vinhos de mesa,2011,Cuba,-,-
Vinhos de mesa,2011,Emirados Árabes Unidos,-,-
Vinhos de mesa,2011,Eslovênia,3.600,62.602
Vinhos de mesa,2011,Eslováquia,-,-
Vinhos de mesa,2011,Espanha,1.999.970,11.175.636
Vinhos de mesa,2011,Estados Unidos,369.806,1.756.901
Vinhos de mesa,2011,França,3.329.437,22.917.012
Vinhos de mesa,2011,Geórgia,-,-
Vinhos de mesa,2011,"Geórgia do Sul e Sandwich do Sul, Ilhas",-,-
Vinhos de mesa,2011,Grécia,82.207,414.329
Vinhos de mesa,2011,Hong Kong,-,-
Vinhos de mesa,2011,Hungria,15.073,256.240
Vinhos de mesa,2011,Indonésia,-,-
Vinhos de mesa,2011,Irlanda,-,-
Vinhos de mesa,2011,Israel,16.382,68.676
Vinhos de mesa,2011,Itália,12.025.827,35.481.781
Vinhos de mesa,2011,Japão,-,-
Vinhos de mesa,2011,Iugoslávia,-,-
Vinhos de mesa,2011,Líbano,17.685,137.954
Vinhos de mesa,2011,Luxemburgo,-,-
Vinhos de mesa,2011,Macedônia,-,-
Vinhos de mesa,2011,Marrocos,-,-
Vinhos de mesa,2011,México,-,-
Vinhos de mesa,2011,Moldávia,-,-
Vinhos de mesa,2011,Montenegro,-,-
Vinhos de mesa,2011,Noruega,-,-
Vinhos de mesa,2011,Nova Zelândia,151.194,1.267.863
Vinhos de mesa,2011,Países Baixos (Holanda),-,-
Vinhos de mesa,2011,Panamá,-,-
Vinhos de mesa,2011,Paraguai,-,-
Vinhos de mesa,2011,Peru,-,-
Vinhos de mesa,2011,Porto Rico,-,-
Vinhos de mesa,2011,Portugal,8.556.375,35.247.223
Vinhos de mesa,2011,Reino Unido,270,6.021
Vinhos de mesa,2011,Republica Dominicana,-,-
Vinhos de mesa,2011,Romênia,-,-
Vinhos de mesa,2011,Rússia,-,-
Vinhos de mesa,2011,San Marino,-,-
Vinhos de mesa,2011,Sérvia,-,-
Vinhos de mesa,2011,Síria,-,-
Vinhos de mesa,2011,Suazilândia,-,-
Vinhos de mesa,2011,Suíça,-,-
Vinhos de mesa,2011,"Tcheca, República",-,-
Vinhos de mesa,2011,Tunísia,16.420,37.492
Vinhos de mesa,2011,Turquia,-,-
Vinhos de mesa,2011,Ucrânia,-,-
Vinhos de mesa,2011,Uruguai,1.264.306,3.481.552
Vinhos de mesa,2011,Não consta na tabela,-,-
Vinhos de mesa,2011,Não declarados,-,-
Vinhos de mesa,2011,Outros,-,-
Vinhos de mesa,2011,Total,72.705.225,262.059.068
Vinhos de mesa,2012,Africa do Sul,722.327,3.041.449
Vinhos de mesa,2012,Alemanha,113.243,591.167
Vinhos de mesa,2012,Argélia,-,-
Vinhos de mesa,2012,Arábia Saudita,-,-
Vinhos de mesa,2012,Argentina,14.613.839,55.633.562
Vinhos de mesa,2012,Armênia,-,-
Vinhos de mesa,2012,Austrália,615.334,2.474.783
Vinhos de mesa,2012,Áustria,8.098,85.116
Vinhos de mesa,2012,Bermudas,-,-
Vinhos de mesa,2012,Bélgica,-,-
Vinhos de mesa,2012,Bolívia,-,-
Vinhos de mesa,2012,Bósnia-Herzegovina,-,-
Vinhos de mesa,2012,Brasil,1.051,15.016
Vinhos de mesa,2012,Bulgária,-,-
Vinhos de mesa,2012,Canada,-,-
Vinhos de mesa,2012,Chile,30.258.795,93.315.735
Vinhos de mesa,2012,China,-,-
Vinhos de mesa,2012,"Coreia do Sul, República",-,-
Vinhos de mesa,2012,Croácia,630,16.571
Vinhos de mesa,2012,Cuba,-,-
Vinhos de mesa,2012,Emirados Árabes Unidos,-,-
Vinhos de mesa,2012,Eslovênia,433,1.223
Vinhos de mesa,2012,Eslováquia,-,-
Vinhos de mesa,2012,Espanha,2.540.209,11.724.946
Vinhos de mesa,2012,Estados Unidos,379.329,1.995.929
Vinhos de mesa,2012,França,3.181.440,21.636.175
Vinhos de mesa,2012,Geórgia,-,-
Vinhos de mesa,2012,"Geórgia do Sul e Sandwich do Sul, Ilhas",-,-
Vinhos de mesa,2012,Grécia,68.966,323.206
Vinhos de mesa,2012,Hong Kong,-,-
Vinhos de mesa,2012,Hungria,10.404,168.862
Vinhos de mesa,2012,Indonésia,-,-
Vinhos de mesa,2012,Irlanda,-,-
Vinhos de mesa,2012,Israel,8.439,47.579
Vinhos de mesa,2012,Itália,10.506.144,30.750.897
Vinhos de mesa,2012,Japão,-,-
Vinhos de mesa,2012,Iugoslávia,-,-
Vinhos de mesa,2012,Líbano,5.805,47.826
Vinhos de mesa,2012,Luxemburgo,-,-
Vinhos de mesa,2012,Macedônia,-,-
Vinhos de mesa,2012,Marrocos,450,3.851
Vinhos de mesa,2012,México,-,-
Vinhos de mesa,2012,Moldávia,-,-
Vinhos de mesa,2012,Montenegro,-,-
Vinhos de mesa,2012,Noruega,-,-
Vinhos de mesa,2012,Nova Zelândia,81.611,790.355
Vinhos de mesa,2012,Países Baixos (Holanda),-,-
Vinhos de mesa,2012,Panamá,-,-
Vinhos de mesa,2012,Paraguai,-,-
Vinhos de mesa,2012,Peru,-,-
Vinhos de mesa,2012,Porto Rico,-,-
Vinhos de mesa,2012,Portugal,9.714.940,36.190.898
Vinhos de mesa,2012,Reino Unido,406,26.466
Vinhos de mesa,2012,Republica Dominicana,-,-
Vinhos de mesa,2012,Romênia,33.750,85.321
Vinhos de mesa,2012,Rússia,-,-
Vinhos de mesa,2012,San Marino,-,-
Vinhos de mesa,2012,Sérvia,-,-
Vinhos de mesa,2012,Síria,-,-
Vinhos de mesa,2012,Suazilândia,-,-
Vinhos de mesa,2012,Suíça,-,-
Vinhos de mesa,2012,"Tcheca, República",-,-
Vinhos de mesa,2012,Tunísia,19.913,42.918
Vinhos de mesa,2012,Turquia,-,-
Vinhos de mesa,2012,Ucrânia,-,-
Vinhos de mesa,2012,Uruguai,1.323.884,3.735.892
Vinhos de mesa,2012,Não consta na tabela,-,-
Vinhos de mesa,2012,Não declarados,-,-
Vinhos de mesa,2012,Outros,-,-
Vinhos de mesa,2012,Total,74.209.440,262.745.743
Vinhos de mesa,2013,Africa do Sul,475.331,1.985.184
Vinhos de mesa,2013,Alemanha,114.866,414.070
Vinhos de mesa,2013,Argélia,-,-
Vinhos de mesa,2013,Arábia Saudita,-,-
Vinhos de mesa,2013,Argentina,12.732.815,49.524.694
Vinhos de mesa,2013,Armênia,-,-
Vinhos de mesa,2013,Austrália,553.190,1.703.815
Vinhos de mesa,2013,Áustria,56.849,227.204
Vinhos de mesa,2013,Bermudas,-,-
Vinhos de mesa,2013,Bélgica,-,-
Vinhos de mesa,2013,Bolívia,-,-
Vinhos de mesa,2013,Bósnia-Herzegovina,-,-
Vinhos de mesa,2013,Brasil,473,5.747
Vinhos de mesa,2013,Bulgária,5.947,21.988
Vinhos de mesa,2013,Canada,-,-
Vinhos de mesa,2013,Chile,28.288.212,90.281.256
Vinhos de mesa,2013,China,-,-
Vinhos de mesa,2013,"Coreia do Sul, República",-,-
Vinhos de mesa,2013,Croácia,-,-
Vinhos de mesa,2013,Cuba,-,-
Vinhos de mesa,2013,Emirados Árabes Unidos,-,-
Vinhos de mesa,2013,Eslovênia,2.192,25.307
Vinhos de mesa,2013,Eslováquia,-,-
Vinhos de mesa,2013,Espanha,2.772.104,13.570.874
Vinhos de mesa,2013,Estados Unidos,518.888,2.817.086
Vinhos de mesa,2013,França,3.265.362,23.336.291
Vinhos de mesa,2013,Geórgia,33.750,134.202
Vinhos de mesa,2013,"Geórgia do Sul e Sandwich do Sul, Ilhas",-,-
Vinhos de mesa,2013,Grécia,13.241,71.175
Vinhos de mesa,2013,Hong Kong,-,-
Vinhos de mesa,2013,Hungria,10.911,140.198
Vinhos de mesa,2013,Indonésia,-,-
Vinhos de mesa,2013,Irlanda,-,-
Vinhos de mesa,2013,Israel,24.622,97.645
Vinhos de mesa,2013,Itália,8.308.831,30.799.292
Vinhos de mesa,2013,Japão,-,-
Vinhos de mesa,2013,Iugoslávia,-,-
Vinhos de mesa,2013,Líbano,6.588,75.810
Vinhos de mesa,2013,Luxemburgo,-,-
Vinhos de mesa,2013,Macedônia,-,-
Vinhos de mesa,2013,Marrocos,-,-
Vinhos de mesa,2013,México,-,-
Vinhos de mesa,2013,Moldávia,-,-
Vinhos de mesa,2013,Montenegro,-,-
Vinhos de mesa,2013,Noruega,-,-
Vinhos de mesa,2013,Nova Zelândia,90.728,840.521
Vinhos de mesa,2013,Países Baixos (Holanda),-,-
Vinhos de mesa,2013,Panamá,-,-
Vinhos de mesa,2013,Paraguai,-,-
Vinhos de mesa,2013,Peru,-,-
Vinhos de mesa,2013,Porto Rico,-,-
Vinhos de mesa,2013,Portugal,9.299.080,35.729.522
Vinhos de mesa,2013,Reino Unido,127,2.789
Vinhos de mesa,2013,Republica Dominicana,-,-
Vinhos de mesa,2013,Romênia,-,-
Vinhos de mesa,2013,Rússia,-,-
Vinhos de mesa,2013,San Marino,-,-
Vinhos de mesa,2013,Sérvia,-,-
Vinhos de mesa,2013,Síria,-,-
Vinhos de mesa,2013,Suazilândia,-,-
Vinhos de mesa,2013,Suíça,-,-
Vinhos de mesa,2013,"Tcheca, República",-,-
Vinhos de mesa,2013,Tunísia,8.000,20.892
Vinhos de mesa,2013,Turquia,-,-
Vinhos de mesa,2013,Ucrânia,-,-
Vinhos de mesa,2013,Uruguai,1.372.329,3.740.613
Vinhos de mesa,2013,Não consta na tabela,-,-
Vinhos de mesa,2013,Não declarados,-,-
Vinhos de mesa,2013,Outros,-,-
Vinhos de mesa,2013,Total,67.954.436,255.566.175
Vinhos de mesa,2014,Africa do Sul,722.715,3.033.932
Vinhos de mesa,2014,Alemanha,115.804,483.316
Vinhos de mesa,2014,Argélia,-,-
Vinhos de mesa,2014,Arábia Saudita,-,-
Vinhos de mesa,2014,Argentina,13.437.321,53.815.956
Vinhos de mesa,2014,Armênia,-,-
Vinhos de mesa,2014,Austrália,236.742,1.008.851
Vinhos de mesa,2014,Áustria,2.770,32.116
Vinhos de mesa,2014,Bermudas,-,-
Vinhos de mesa,2014,Bélgica,-,-
Vinhos de mesa,2014,Bolívia,-,-
Vinhos de mesa,2014,Bósnia-Herzegovina,-,-
Vinhos de mesa,2014,Brasil,449,6.011
Vinhos de mesa,2014,Bulgária,15.019,46.857
Vinhos de mesa,2014,Canada,1.530,25.958
Vinhos de mesa,2014,Chile,35.479.279,113.375.484
Vinhos de mesa,2014,China,-,-
Vinhos de mesa,2014,"Coreia do Sul, República",-,-
Vinhos de mesa,2014,Croácia,-,-
Vinhos de mesa,2014,Cuba,-,-
Vinhos de mesa,2014,Emirados Árabes Unidos,35,1.138
Vinhos de mesa,2014,Eslovênia,4.190,23.377
Vinhos de mesa,2014,Eslováquia,-,-
Vinhos de mesa,2014,Espanha,2.760.797,12.797.753
Vinhos de mesa,2014,Estados Unidos,788.773,4.171.731
Vinhos de mesa,2014,França,3.592.782,27.480.375
Vinhos de mesa,2014,Geórgia,-,-
Vinhos de mesa,2014,"Geórgia do Sul e Sandwich do Sul, Ilhas",-,-
Vinhos de mesa,2014,Grécia,24.244,107.195
Vinhos de mesa,2014,Hong Kong,-,-
Vinhos de mesa,2014,Hungria,18.733,114.610
Vinhos de mesa,2014,Indonésia,-,-
Vinhos de mesa,2014,Irlanda,-,-
Vinhos de mesa,2014,Israel,7.734,40.372
Vinhos de mesa,2014,Itália,8.566.756,31.697.736
Vinhos de mesa,2014,Japão,-,-
Vinhos de mesa,2014,Iugoslávia,-,-
Vinhos de mesa,2014,Líbano,47.610,270.145
Vinhos de mesa,2014,Luxemburgo,-,-
Vinhos de mesa,2014,Macedônia,252,497
Vinhos de mesa,2014,Marrocos,-,-
Vinhos de mesa,2014,México,-,-
Vinhos de mesa,2014,Moldávia,-,-
Vinhos de mesa,2014,Montenegro,-,-
Vinhos de mesa,2014,Noruega,-,-
Vinhos de mesa,2014,Nova Zelândia,106.251,843.533
Vinhos de mesa,2014,Países Baixos (Holanda),-,-
Vinhos de mesa,2014,Panamá,-,-
Vinhos de mesa,2014,Paraguai,-,-
Vinhos de mesa,2014,Peru,3.201,7.906
Vinhos de mesa,2014,Porto Rico,-,-
Vinhos de mesa,2014,Portugal,9.735.153,37.071.142
Vinhos de mesa,2014,Reino Unido,315,9.410
Vinhos de mesa,2014,Republica Dominicana,-,-
Vinhos de mesa,2014,Romênia,4.163,5.629
Vinhos de mesa,2014,Rússia,-,-
Vinhos de mesa,2014,San Marino,-,-
Vinhos de mesa,2014,Sérvia,-,-
Vinhos de mesa,2014,Síria,-,-
Vinhos de mesa,2014,Suazilândia,-,-
Vinhos de mesa,2014,Suíça,-,-
Vinhos de mesa,2014,"Tcheca, República",-,-
Vinhos de mesa,2014,Tunísia,-,-
Vinhos de mesa,2014,Turquia,-,-
Vinhos de mesa,2014,Ucrânia,-,-
Vinhos de mesa,2014,Uruguai,1.237.537,3.782.282
Vinhos de mesa,2014,Não consta na tabela,-,-
Vinhos de mesa,2014,Não declarados,-,-
Vinhos de mesa,2014,Outros,-,-
Vinhos de mesa,2014,Total,76.910.155,290.253.312
Vinhos de mesa,2015,Africa do Sul,743.335,2.996.543
Vinhos de mesa,2015,Alemanha,95.171,358.275
Vinhos de mesa,2015,Argélia,-,-
Vinhos de mesa,2015,Arábia Saudita,-,-
Vinhos de mesa,2015,Argentina,12.465.041,48.043.201
Vinhos de mesa,2015,Armênia,-,-
Vinhos de mesa,2015,Austrália,395.030,1.261.810
Vinhos de mesa,2015,Áustria,360,3.891
Vinhos de mesa,2015,Bermudas,-,-
Vinhos de mesa,2015,Bélgica,-,-
Vinhos de mesa,2015,Bolívia,-,-
Vinhos de mesa,2015,Bósnia-Herzegovina,-,-
Vinhos de mesa,2015,Brasil,1.359,12.919
Vinhos de mesa,2015,Bulgária,17.244,51.678
Vinhos de mesa,2015,Canada,-,-
Vinhos de mesa,2015,Chile,36.686.870,107.684.380
Vinhos de mesa,2015,China,-,-
Vinhos de mesa,2015,"Coreia do Sul, República",-,-
Vinhos de mesa,2015,Croácia,2.069,3.779
Vinhos de mesa,2015,Cuba,-,-
Vinhos de mesa,2015,Emirados Árabes Unidos,529,10.093
Vinhos de mesa,2015,Eslovênia,4.640,24.190
Vinhos de mesa,2015,Eslováquia,-,-
Vinhos de mesa,2015,Espanha,3.024.533,11.396.855
Vinhos de mesa,2015,Estados Unidos,775.131,3.848.755
Vinhos de mesa,2015,França,3.617.130,19.353.291
Vinhos de mesa,2015,Geórgia,-,-
Vinhos de mesa,2015,"Geórgia do Sul e Sandwich do Sul, Ilhas",-,-
Vinhos de mesa,2015,Grécia,55.680,190.185
Vinhos de mesa,2015,Hong Kong,-,-
Vinhos de mesa,2015,Hungria,5.117,74.688
Vinhos de mesa,2015,Indonésia,-,-
Vinhos de mesa,2015,Irlanda,-,-
Vinhos de mesa,2015,Israel,19.028,55.248
Vinhos de mesa,2015,Itália,8.261.383,25.846.195
Vinhos de mesa,2015,Japão,-,-
Vinhos de mesa,2015,Iugoslávia,-,-
Vinhos de mesa,2015,Líbano,6.480,56.196
Vinhos de mesa,2015,Luxemburgo,-,-
Vinhos de mesa,2015,Macedônia,-,-
Vinhos de mesa,2015,Marrocos,1.755,15.082
Vinhos de mesa,2015,México,-,-
Vinhos de mesa,2015,Moldávia,-,-
Vinhos de mesa,2015,Montenegro,-,-
Vinhos de mesa,2015,Noruega,-,-
Vinhos de mesa,2015,Nova Zelândia,117.340,950.751
Vinhos de mesa,2015,Países Baixos (Holanda),-,-
Vinhos de mesa,2015,Panamá,-,-
Vinhos de mesa,2015,Paraguai,-,-
Vinhos de mesa,2015,Peru,-,-
Vinhos de mesa,2015,Porto Rico,-,-
Vinhos de mesa,2015,Portugal,9.952.290,32.547.365
Vinhos de mesa,2015,Reino Unido,90,1.352
Vinhos de mesa,2015,Republica Dominicana,-,-
Vinhos de mesa,2015,Romênia,5.950,7.925
Vinhos de mesa,2015,Rússia,-,-
Vinhos de mesa,2015,San Marino,-,-
Vinhos de mesa,2015,Sérvia,-,-
Vinhos de mesa,2015,Síria,-,-
Vinhos de mesa,2015,Suazilândia,-,-
Vinhos de mesa,2015,Suíça,1.125,6.284
Vinhos de mesa,2015,"Tcheca, República",-,-
Vinhos de mesa,2015,Tunísia,-,-
Vinhos de mesa,2015,Turquia,32.247,109.741
Vinhos de mesa,2015,Ucrânia,-,-
Vinhos de mesa,2015,Uruguai,1.399.547,4.069.100
Vinhos de mesa,2015,Não consta na tabela,-,-
Vinhos de mesa,2015,Não declarados,-,-
Vinhos de mesa,2015,Outros,-,-
Vinhos de mesa,2015,Total,77.686.474,258.979.772
Vinhos de mesa,2016,Africa do Sul,578.829,1.686.226
Vinhos de mesa,2016,Alemanha,158.386,606.333
Vinhos de mesa,2016,Argélia,0,43
Vinhos de mesa,2016,Arábia Saudita,0,43
Vinhos de mesa,2016,Argentina,14.098.009,45.214.862
Vinhos de mesa,2016,Armênia,-,-
Vinhos de mesa,2016,Austrália,498.515,1.537.834
Vinhos de mesa,2016,Áustria,1.485,7.551
Vinhos de mesa,2016,Bermudas,-,-
Vinhos de mesa,2016,Bélgica,7,1.090
Vinhos de mesa,2016,Bolívia,-,-
Vinhos de mesa,2016,Bósnia-Herzegovina,-,-
Vinhos de mesa,2016,Brasil,183,2.127
Vinhos de mesa,2016,Bulgária,17.777,55.253
Vinhos de mesa,2016,Canada,-,-
Vinhos de mesa,2016,Chile,43.400.991,123.183.079
Vinhos de mesa,2016,China,108,213
Vinhos de mesa,2016,"Coreia do Sul, República",-,-
Vinhos de mesa,2016,Croácia,-,-
Vinhos de mesa,2016,Cuba,-,-
Vinhos de mesa,2016,Emirados Árabes Unidos,2.175,35.489
Vinhos de mesa,2016,Eslovênia,14.366,46.972
Vinhos de mesa,2016,Eslováquia,1.305,3.878
Vinhos de mesa,2016,Espanha,3.948.614,12.221.512
Vinhos de mesa,2016,Estados Unidos,725.420,2.924.715
Vinhos de mesa,2016,França,3.831.566,15.940.341
Vinhos de mesa,2016,Geórgia,-,-
Vinhos de mesa,2016,"Geórgia do Sul e Sandwich do Sul, Ilhas",-,-
Vinhos de mesa,2016,Grécia,6.568,18.637
Vinhos de mesa,2016,Hong Kong,-,-
Vinhos de mesa,2016,Hungria,8.315,58.756
Vinhos de mesa,2016,Indonésia,0,43
Vinhos de mesa,2016,Irlanda,0,43
Vinhos de mesa,2016,Israel,12.548,44.277
Vinhos de mesa,2016,Itália,7.936.409,22.216.811
Vinhos de mesa,2016,Japão,-,-
Vinhos de mesa,2016,Iugoslávia,-,-
Vinhos de mesa,2016,Líbano,10.665,71.374
Vinhos de mesa,2016,Luxemburgo,0,43
Vinhos de mesa,2016,Macedônia,-,-
Vinhos de mesa,2016,Marrocos,-,-
Vinhos de mesa,2016,México,-,-
Vinhos de mesa,2016,Moldávia,-,-
Vinhos de mesa,2016,Montenegro,-,-
Vinhos de mesa,2016,Noruega,396,253
Vinhos de mesa,2016,Nova Zelândia,50.177,361.030
Vinhos de mesa,2016,Países Baixos (Holanda),0,43
Vinhos de mesa,2016,Panamá,-,-
Vinhos de mesa,2016,Paraguai,-,-
Vinhos de mesa,2016,Peru,-,-
Vinhos de mesa,2016,Porto Rico,-,-
Vinhos de mesa,2016,Portugal,10.821.232,29.495.190
Vinhos de mesa,2016,Reino Unido,5,255
Vinhos de mesa,2016,Republica Dominicana,0,43
Vinhos de mesa,2016,Romênia,-,-
Vinhos de mesa,2016,Rússia,0,43
Vinhos de mesa,2016,San Marino,-,-
Vinhos de mesa,2016,Sérvia,-,-
Vinhos de mesa,2016,Síria,-,-
Vinhos de mesa,2016,Suazilândia,-,-
Vinhos de mesa,2016,Suíça,6,245
Vinhos de mesa,2016,"Tcheca, República",-,-
Vinhos de mesa,2016,Tunísia,-,-
Vinhos de mesa,2016,Turquia,-,-
Vinhos de mesa,2016,Ucrânia,5.319,9.679
Vinhos de mesa,2016,Uruguai,2.215.692,5.099.162
Vinhos de mesa,2016,Não consta na tabela,-,-
Vinhos de mesa,2016,Não declarados,-,-
Vinhos de mesa,2016,Outros,-,-
Vinhos de mesa,2016,Total,88.345.068,260.843.488
Vinhos de mesa,2017,Africa do Sul,1.138.732,3.241.298
Vinhos de mesa,2017,Alemanha,83.289,315.959
Vinhos de mesa,2017,Argélia,-,-
Vinhos de mesa,2017,Arábia Saudita,-,-
Vinhos de mesa,2017,Argentina,15.461.740,51.770.842
Vinhos de mesa,2017,Armênia,-,-
Vinhos de mesa,2017,Austrália,354.641,1.246.545
Vinhos de mesa,2017,Áustria,2.655,24.629
Vinhos de mesa,2017,Bermudas,-,-
Vinhos de mesa,2017,Bélgica,4.376,45.221
Vinhos de mesa,2017,Bolívia,-,-
Vinhos de mesa,2017,Bósnia-Herzegovina,-,-
Vinhos de mesa,2017,Brasil,845.617,260.135
Vinhos de mesa,2017,Bulgária,35.284,68.234
Vinhos de mesa,2017,Canada,-,-
Vinhos de mesa,2017,Chile,51.787.643,145.628.860
Vinhos de mesa,2017,China,1.000,613
Vinhos de mesa,2017,"Coreia do Sul, República",-,-
Vinhos de mesa,2017,Croácia,-,-
Vinhos de mesa,2017,Cuba,-,-
Vinhos de mesa,2017,Emirados Árabes Unidos,-,-
Vinhos de mesa,2017,Eslovênia,-,-
Vinhos de mesa,2017,Eslováquia,21.424,64.828
Vinhos de mesa,2017,Espanha,7.240.535,19.834.451
Vinhos de mesa,2017,Estados Unidos,1.372.347,4.110.641
Vinhos de mesa,2017,França,5.921.728,25.280.255
Vinhos de mesa,2017,Geórgia,-,-
Vinhos de mesa,2017,"Geórgia do Sul e Sandwich do Sul, Ilhas",-,-
Vinhos de mesa,2017,Grécia,40.775,139.486
Vinhos de mesa,2017,Hong Kong,-,-
Vinhos de mesa,2017,Hungria,23.813,168.353
Vinhos de mesa,2017,Indonésia,-,-
Vinhos de mesa,2017,Irlanda,-,-
Vinhos de mesa,2017,Israel,37.302,120.463
Vinhos de mesa,2017,Itália,11.538.990,33.707.111
Vinhos de mesa,2017,Japão,-,-
Vinhos de mesa,2017,Iugoslávia,-,-
Vinhos de mesa,2017,Líbano,12.737,93.480
Vinhos de mesa,2017,Luxemburgo,-,-
Vinhos de mesa,2017,Macedônia,-,-
Vinhos de mesa,2017,Marrocos,-,-
Vinhos de mesa,2017,México,-,-
Vinhos de mesa,2017,Moldávia,-,-
Vinhos de mesa,2017,Montenegro,-,-
Vinhos de mesa,2017,Noruega,5,27
Vinhos de mesa,2017,Nova Zelândia,31.379,248.412
Vinhos de mesa,2017,Países Baixos (Holanda),-,-
Vinhos de mesa,2017,Panamá,-,-
Vinhos de mesa,2017,Paraguai,-,-
Vinhos de mesa,2017,Peru,-,-
Vinhos de mesa,2017,Porto Rico,-,-
Vinhos de mesa,2017,Portugal,17.345.709,45.032.247
Vinhos de mesa,2017,Reino Unido,16,1.033
Vinhos de mesa,2017,Republica Dominicana,-,-
Vinhos de mesa,2017,Romênia,18.509,52.150
Vinhos de mesa,2017,Rússia,-,-
Vinhos de mesa,2017,San Marino,-,-
Vinhos de mesa,2017,Sérvia,-,-
Vinhos de mesa,2017,Síria,398,269
Vinhos de mesa,2017,Suazilândia,-,-
Vinhos de mesa,2017,Suíça,138,2.873
Vinhos de mesa,2017,"Tcheca, República",-,-
Vinhos de mesa,2017,Tunísia,-,-
Vinhos de mesa,2017,Turquia,-,-
Vinhos de mesa,2017,Ucrânia,865,931
Vinhos de mesa,2017,Uruguai,5.009.098,7.751.966
Vinhos de mesa,2017,Não consta na tabela,-,-
Vinhos de mesa,2017,Não declarados,-,-
Vinhos de mesa,2017,Outros,-,-
Vinhos de mesa,2017,Total,118.330.745,339.211.312
Vinhos de mesa,2018,Africa do Sul,1.127.053,3.574.371
Vinhos de mesa,2018,Alemanha,142.971,516.975
Vinhos de mesa,2018,Argélia,-,-
Vinhos de mesa,2018,Arábia Saudita,563,3.249
Vinhos de mesa,2018,Argentina,15.221.318,52.817.642
Vinhos de mesa,2018,Armênia,-,-
Vinhos de mesa,2018,Austrália,3.518,21.664
Vinhos de mesa,2018,Áustria,513.995,1.567.866
